"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет авторизацию с пустыми строками и null значениями","60806","Авторизация с пустыми строками и null значениями","tests","2025-10-14","failed","2025-10-14","TestLoginCourier","test_login_courier","",""
"","366","test_accept_order_without_order_id","tests","2025-10-14","failed","2025-10-14","TestCreatingCourier","test_return_order","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","464","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","362","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест проверяет авторизацию с пустыми строками и null значениями","60892","Авторизация с пустыми строками и null значениями","tests","2025-10-14","failed","2025-10-14","TestLoginCourier","test_login_courier","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","471","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест неуспешный с несуществующим ID возвращает соответствующую ошибку","652","Удаление курьера с несуществующим ID","tests","2025-10-14","failed","2025-10-14","TestDeleteCourier","test_delet_courier","",""
"Успешное получение заказа по корректному номеру трека","381","Получение заказа по номеру","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_place_an_order_using_its_number","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","1524","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Запрос заказа без номера трека возвращает ошибку","485","Получение заказа без номера","tests","2025-10-14","failed","2025-10-14","TestCreatingCourier","test_place_an_order_using_its_number","",""
"Запрос заказа с несуществующим номером трека возвращает ошибку","1369","Получение заказа с несуществующим номером","tests","2025-10-14","failed","2025-10-14","TestCreatingCourier","test_place_an_order_using_its_number","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","424","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест проверяет авторизацию когда отсутствует логин или пароль","60897","Авторизация без обязательных полей","tests","2025-10-14","failed","2025-10-14","TestLoginCourier","test_login_courier","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","394","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
"Тест негативное тестирование создания курьера. Проверяются варианты: отсутствие полей, передача пустых строк, установка null значений","399","Создание курьера: отсутствие полей, пустые значения и null","tests","2025-10-14","passed","2025-10-14","TestCreatingCourier","test_сratinga_courier","",""
